firstName,total,female,male
CLAUMIRDES,1,1,0
DEAULAS,1,0,1
VANDINE,1,0,1
YOQTAN,2,0,2
FLEURIVANIA,1,1,0
ANOILI,1,1,0
MAIRAM,1,1,0
BRENA,4,4,0
LIVONIO,4,0,4
VALDEGLASE,1,0,1
RALFF,3,0,3
INDRAJAI,1,1,0
LINDELFIA,1,1,0
HOZANEIDE,1,1,0
BELSON,5,0,5
JAGUARANA,1,1,0
MARTORELI,1,0,1
VENUS,1,0,1
ANIRCIO,1,0,1
FRANZ-SCHUBERT,1,0,1
JEOSADAQUE,8,0,8
CALVEX,1,0,1
ARTUR,641,0,594
GIRNARIA,1,1,0
AMICIS,1,0,1
GEDERVAL,1,0,1
JUCERGIO,3,0,2
FAGGNER,1,0,0
MAIARA,30,27,0
ROZILAINE,4,4,0
MAGNUS,27,0,24
MAYCK,1,0,1
FELÍCIO,34,0,34
GERSIMAR,2,0,2
JOCIMAR,165,3,151
FELISVALDO,4,0,4
COSMINHA,2,2,0
ELZIANE,5,5,0
TOVAR,10,0,8
LENIS,6,5,0
NADYE,1,1,0
HERONIMAR,1,0,1
JAIBEAM,2,0,2
CLEIS,2,0,2
CLEIDINETH,1,1,0
VÂNIA,247,229,0
NEFTON,1,0,1
EDEZYO,1,0,1
ECIVAN,2,0,2
WANDERLEYA,1,1,0
ELEÍDES,1,0,1
IVARLETE,1,1,0
ZILVANA,1,1,0
ESELETE,1,1,0
SESSUAF,1,0,1
GELCYANE,2,2,0
MATTOZINHO,1,0,1
GOIAMAR,2,1,1
IZENILDES,2,2,0
METOZAEL,4,0,4
SÉRIDON,1,0,0
JAREDES,1,0,1
CELIVANE,1,1,0
ROGERITO,4,0,4
SILDAIR,1,0,1
ELISENE,2,2,0
HERCULINO,2,0,2
RUBISDEAN,1,0,1
LEIDMILA,1,1,0
IVALDÉRIS,1,0,1
DAUZIRETE,1,1,0
WILDIMARQUES,1,0,1
ROZINALDO,15,0,13
UTANAAN,1,0,1
ERISNALDO,7,0,7
MARYMAR,2,2,0
DUQUE,1,0,1
ELIX,3,0,3
IRAFAM,1,0,1
SIDELIA,4,4,0
RADINE,1,0,1
IRONES,8,2,6
CARM0,1,0,1
LEOSIR,4,2,2
LAKTELMA,1,1,0
HERNEAN,2,0,2
HELLITON,1,0,1
NASIO,1,0,1
DONÁRIO,3,0,2
VARLÉIA,1,1,0
ERNÍ,1,0,1
GALENIR,2,0,2
SECILIA,1,1,0
ODIMÉRIA,1,1,0
DORACIDES,2,0,2
FLORIBERTO,2,0,2
WERBERT,3,0,3
FLODUALDO,3,0,3
MARCOVANI,1,0,1
HEROS,9,0,6
NEMOEL,1,0,1
MANGOLD,1,0,1
JUREIDE,1,1,0
JORVILE,1,0,1
AUDINEI,2,0,2
RENETO,1,0,1
HERDER,4,0,4
ORMON,1,0,1
FRANÇUALDO,1,0,0
ROGÊ,3,0,3
JOAQUIN,8,0,8
