firstName,total,female,male
DIOCLECIANO,8,0,8
GLAUDSON,4,0,4
RAPHAELLA,2,2,0
VALTÉCIO,5,0,5
DEMÓSTENIS,1,0,1
IDNEA,2,2,0
DIRLON,2,0,2
GERLÚCIO,1,0,1
ÊNORE,1,0,1
LAUCILDES,1,1,0
ISALEIA,1,1,0
NEYA,1,1,0
JANDAYLSON,1,0,1
ERNANDES,235,2,222
MARACELIA,1,1,0
JOZEMILDA,1,1,0
CRENILSON,1,0,1
ALNEIA,1,1,0
ESMAÉL,1,0,1
OSORITO,1,0,1
ELOÍ,4,2,2
OCLESIA,1,1,0
JOMILDO,1,0,1
JEZUEL,3,0,3
NAOYUKI,1,0,1
OCIMARA,3,3,0
UELDA,1,1,0
JANUARIO,116,0,110
CARLINO,13,0,13
TEODOMIRO,71,0,70
SELVINA,5,5,0
IRAGUACI,2,1,1
HELOISE,7,6,0
HENRIQUES,1,0,1
DORIANA,3,3,0
MARLOVE,3,3,0
ELEIDIELE,1,1,0
SEIJI,12,0,10
WEINER,2,0,2
EUDINE,3,2,0
VERARDI,2,0,2
VOLUSI,1,0,0
ANGELINA,207,192,4
ZOTICO,1,0,1
DAELSON,3,0,3
JOSILVAN,1,0,1
ALDINÉLIO,1,0,1
CLEONIZIO,1,0,1
ANTONIR,1,0,1
ALMIDES,2,0,2
CELDA,4,4,0
WNILTON,1,0,1
ADALMO,6,0,6
CINDRA,1,1,0
SIMAIRA,1,1,0
IONIRA,1,1,0
OZORINO,3,0,3
RIVAMAR,3,0,2
MAQUICELIO,1,0,1
TELECIO,2,0,2
MURYLO,2,0,1
FARLE,5,1,4
RUBSNEI,1,0,1
SHERIE,1,1,0
JALDELITO,1,0,1
GILDELICE,1,1,0
SHELTON,3,0,3
DIONEZO,1,0,1
DONATILIA,1,1,0
ADMILDE,1,1,0
ÉBERLI,1,0,1
ASSUÉRIO,1,0,1
EDION,3,0,3
INGART,1,1,0
AGLAIDE,1,0,1
AGNAISSE,1,1,0
CLYCIE,1,1,0
AURILENE,45,39,4
HORVET,1,0,1
INELVES,5,3,2
EDILZO,5,0,5
EMÍRCIO,1,0,1
ELNA,1,1,0
JOSEMARIA,1,1,0
VANSIL,2,0,2
AMARIA,1,1,0
LEUSIETE,1,1,0
TEOTONIO,43,0,37
ODAVIO,1,0,1
MARILUZA,3,3,0
OLIZANDRO,3,0,3
EUDAIZYA,1,1,0
IRMÃ,1,1,0
JURUPITAN,1,0,1
WILIAMAR,1,0,1
KALIN,1,0,1
MOURISVALDO,4,0,3
MERISÔNIA,1,1,0
SANTA,102,100,1
GIRLENIO,4,0,3
NILZOMAR,1,0,1
ERLINDO,5,0,5
JUVINICIO,1,0,1
WILCA,3,3,0
EDELMO,5,0,5
JOCELINA,15,15,0
JADELNI,1,1,0
WADERSON,3,0,3
ALBINATO,2,0,1
DIX-HUT,1,0,1
JURAILTON,1,0,1
ESTELA,116,107,0
SINEI,7,2,4
ALDEVANDO,1,0,1
AUTEMAR,4,0,4
ROSART,1,1,0
HEROCILDES,1,0,1
JOÉDISSON,1,0,0
LEATRIZ,1,1,0
JORLENIO,4,0,4
RAIFE,1,0,0
CLEILZA,1,1,0
GENESON,1,0,1
DIOMARIO,7,0,7
SANDERSOM,1,0,1
JARDANIA,1,1,0
EVONILDES,1,1,0
AURINISIA,1,1,0
ADAMARIS,1,1,0
LOUSMAR,1,0,1
CRISOMAR,2,0,2
JOHNNATAN,2,0,2
CASSIA,199,186,0
MARÍZIA,1,1,0
EUDÉCIO,2,0,2
EDÉLCIO,2,0,2
NENSA,1,1,0
NEIDVAM,1,0,1
WATEZER,2,0,2
GELZA,8,8,0
NACOR,6,0,5
DELACY,2,2,0
MAURICIA,20,19,0
SUYLAN,2,1,1
JANIELLE,4,4,0
VONILDO,3,0,3
NIMILTON,1,0,1
DONMARQUES,7,0,4
ANDRI,1,1,0
DOURISVAL,2,0,1
JUSEVAN,2,0,2
RENARD,1,0,1
DIALLA,1,1,0
LÍNIO,1,0,1
IVETTE,1,1,0
DEROCILIA,1,1,0
DÁDIVA,2,2,0
CRISTIANNY,1,1,0
VAGNILSON,2,0,2
IDALJISO,1,0,1
EGEFERSON,4,0,3
NATOR,1,0,1
CÍCERO,1065,0,1016
NEWFTON,1,0,1
DIVANE,7,3,4
EDEÚ,1,0,1
SIRLEIS,3,3,0
LIODOVICO,1,0,1
MARSIVALDO,1,0,1
MAÍZA,4,4,0
DEUSELI,10,8,2
MACIONILIO,2,0,2
NEIOMAR,2,0,2
KAMEL,4,0,3
LYSIS,1,1,0
EDICENE,1,1,0
FAUSTER,1,0,1
ALVAMBERG,1,0,1
LAUDEENE,2,2,0
AVÍLIO,1,0,0
SIVONALDO,4,0,4
JOVIS,4,0,4
WALTERINA,1,1,0
ZELAI,1,1,0
HIRON,8,0,4
LINDOLFA,1,1,0
ZANI,3,0,2
NEOLI,4,0,3
MARLEYSON,1,0,1
ANÁDIA,3,3,0
JOANINHA,14,10,0
RINELDO,1,0,1
SUZANE,30,29,0
JORGENITA,1,1,0
WALDOMILSON,1,0,1
ROSSIALDO,2,0,2
GARDILENE,1,1,0
DORISEL,2,0,2
GLAIDTON,1,0,1
GUIORLINDO,1,0,1
LAIANNE,1,1,0
ANTONICLE,1,1,0
ROSEILNA,1,1,0
CLINDERLEI,1,0,1
ELIOLDA,2,2,0
ELOASE,1,0,0
ZENADIA,1,1,0
DILO,12,0,11
PERON,18,0,17
MARLYBETH,3,3,0
IRONI,28,9,17
OTAMAR,3,0,3
ENICIO,4,0,4
CINOE,1,0,1
NELTON,49,0,44
VALFLAN,2,0,2
GILÁRIO,1,0,1
WANDAMIR,2,2,0
ANGELISON,1,0,1
AURIS,1,0,1
FRANSCISCO,30,0,28
FRANCELY,5,3,2
SERAPIÃO,4,0,4
CILIVIO,1,0,1
EDCLAY,4,0,4
BELCHO,1,0,1
SIENA,1,1,0
KELLI,32,29,1
NUBIA,214,195,2
SUSSUMI,1,0,1
LAERTH,5,0,4
VAULENE,1,1,0
ELIVANDA,2,2,0
KELLIA,1,1,0
EDÉRSON,1,0,1
VANDELI,10,2,8
IVANILDES,23,21,0
QUERUBINO,5,0,5
ALMARY,2,0,2
CREUZENIR,2,2,0
ATACISO,5,0,5
GLIVIO,1,0,1
LEDOMAR,2,0,2
CAMILA,300,273,1
SIDIVALDO,3,0,3
DEOCLACI,3,3,0
JUAQUIM,2,0,2
ELESCIO,1,0,1
KETLEEN,2,1,0
ADADIR,1,0,1
GILDENCIO,1,0,1
ADIAS,1,0,1
ÉRIO,1,0,1
JASSI,1,1,0
EDJAIR,6,0,6
TAYNAH,1,0,0
ARISTOTELINO,2,0,2
ISLENE,12,12,0
ALVACY,14,0,12
ROUSTAING,2,0,2
JAMIRSOM,1,0,1
NADILZA,2,2,0
HAYZA,1,0,0
LIDERNEI,2,0,2
GRENECI,1,1,0
OCIRENE,2,2,0
SUZELDA,1,1,0
VAGNER,764,2,716
ORLANILDO,5,0,5
RONÉRIO,2,0,2
JAIBISON,1,0,1
ROSINALMA,1,1,0
GURIATAN,3,0,3
GIBRALTAR,4,0,4
BRESLENS,1,0,1
GUALDEBERTO,1,0,1
ADELÇON,2,0,2
ISELMO,1,0,1
EVANIZIA,1,1,0
NELCIDIO,5,0,5
ALBERLAN,2,0,2
LIDIANA,22,22,0
SIEGFRID,1,0,1
VALMIQUE,6,0,6
YACER,1,0,1
ZEYGLER,1,0,1
RUDY,17,0,16
CINCUNEGUI,1,0,1
LEODAR,2,0,2
VANITA,4,4,0
ADELZIRA,5,5,0
EVANDILIO,1,0,1
SIMEON,8,0,8
ATEILTON,9,0,9
RAFANELI,2,0,2
WYDMAR,1,0,1
ROSANNE,3,3,0
AUDINÉIA,1,1,0
JUDISNEY,2,0,2
GLEVERSON,2,0,2
WKLEZIA,1,0,1
EULIRIO,1,0,1
OZEO,1,0,1
LIRBA,1,1,0
JIOVANI,1,0,1
TULLYO,1,0,1
ANELISE,22,20,0
ISILDA,10,10,0
BARTON,3,0,3
OSMIR,74,1,69
JOÃ0,1,0,1
WALKRISTIAN,1,1,0
IVANIL,59,11,47
JARDER,3,0,3
ATAMIL,1,0,1
JOESTAN,1,0,1
IDELICIO,1,0,1
VANDELINA,1,1,0
EFERSON,3,0,3
HELFLIDA,1,1,0
NAFTALI,1,0,1
AGNA,12,12,0
DILCIMARA,2,2,0
JOSANA,9,9,0
ELIAB,6,0,6
GENESIO,380,0,360
JOSÉVALDI,1,0,1
HERBSON,9,0,5
MARIDELIA,1,1,0
ALBEJANE,1,1,0
ELCINEY,1,0,1
ONDIRA,1,1,0
ANTONINIO,1,0,1
ZEZILHO,1,0,1
ALPARISCIO,1,0,1
ADIVAINE,1,1,0
HÉLCIO,57,0,51
JANIMARIA,1,1,0
JOSENELIA,1,0,0
SILANILDES,2,2,0
ALONI,2,0,2
ATENIZIA,1,1,0
EDCARDO,1,0,1
NARIANA,1,1,0
ADENAIDE,1,1,0
GRENNO,1,0,1
NEOLAN,2,0,2
GENISSE,3,3,0
IVALDETE,11,11,0
KETTY,1,1,0
ANGELIANE,1,1,0
CLEOPHAS,5,0,2
GUIMORVAN,3,0,3
JOARINO,2,0,2
ITALA,7,7,0
ADORI,1,0,1
NILCE,152,144,0
JARMAS,6,0,6
MACSOEL,3,0,3
PLEUDES,1,0,1
ESCÂNDAR,1,0,1
KAZUAKI,2,0,2
CLELDIVANIA,1,1,0
ERLANDIA,4,4,0
RONALDY,5,0,5
DORALICI,3,3,0
NAZAMARA,2,1,0
SALVENOR,1,0,1
WALMIRIA,3,3,0
ARISTÉIA,3,3,0
GIVELDA,1,1,0
VALCINEA,1,1,0
HEITEL,2,0,2
MILLANE,1,0,0
DORCEL,4,0,1
JOELSO,22,0,21
ODERCIO,4,0,4
JOED,5,0,5
AGAPTO,8,0,8
DORGELINA,1,1,0
ALVANÍ,1,1,0
CLAUDERI,2,0,2
ROSENIRA,7,7,0
CAIADO,1,0,1
ALOIZA,1,1,0
GIANNETH,1,1,0
NUMERIANO,4,0,4
AGILA,2,2,0
SINDOVAL,9,0,9
PÁULO,2,0,2
GILTA,1,1,0
VALDELORDES,1,1,0
OLGAIDES,1,0,1
NEUZINETE,7,5,0
NIRAI,1,0,1
VALTENE,2,0,2
NINARROSA,1,1,0
ERINILSON,4,0,4
DELZUMIRA,1,1,0
LEONIZARD,2,0,1
JAMAL,15,0,13
EDIMEE,1,1,0
QUENIDI,1,0,1
HILDERCY,1,0,1
IRAMAIA,7,7,0
MAGNELY,1,0,0
OZARIAS,1,0,1
GERCIANA,1,1,0
JANNY,1,1,0
BRISDA,1,1,0
LEOCLESIO,2,0,2
GERFESON,7,0,6
JOSEVÂNIO,4,0,4
VALDELES,1,0,1
NOAZIR,1,0,1
ESPERDIÃO,3,0,3
RISOLEIDE,1,1,0
ODILAIR,2,1,1
VITALINHO,1,0,1
WERLEM,5,0,5
SHEIK,1,0,1
MURIAHE,1,0,1
MAVANIE,1,1,0
CLETO,86,0,81
NEILENE,3,3,0
REVANIA,1,1,0
DULCINDO,4,0,4
OSNIVAL,2,0,2
JAQUICEA,1,1,0
HELMITON,6,0,4
EUDINEIA,2,2,0
CLAUDEIDES,1,0,1
ELTES,2,0,1
WALKER,41,0,38
ERONILTON,12,0,12
AMIRTES,3,3,0
DEUSDINEI,2,0,2
ALÃ,5,0,5
HALACY,1,0,1
LOIRIDES,2,0,2
ADANIR,6,1,5
EULIANA,1,1,0
VANDREIA,1,1,0
ISATILAINE,1,1,0
EVALD,1,0,1
LINJADELMA,1,1,0
LENICY,2,2,0
MAURISO,1,0,1
CLOUZE,2,2,0
GERDILANDIO,1,0,1
TANUZIO,3,0,3
FELICINO,1,0,1
GISLANDO,1,0,1
ZULIRMAN,1,1,0
DILADOR,4,0,2
ROSVERES,1,0,0
EVODIO,3,0,3
OSVALDINEY,1,0,1
AUDEMARIO,2,0,2
NILDON,9,0,9
ARMÊNIO,7,0,7
TACINEIRA,1,1,0
AVIR,1,0,1
DIVALDINO,5,0,4
JASMO,5,0,5
SILLAS,6,0,6
FARAH,4,0,4
NOEDIA,1,1,0
SUDÁRIO,6,0,6
UYRANDEI,1,0,1
LUZENAIDE,1,1,0
GERSINA,7,6,0
AMBROZINA,4,4,0
ERIVAM,20,1,18
MARILÚ,13,11,0
LUZIMIR,1,0,1
SIZALTINA,5,5,0
ALAECIO,14,0,14
BARTMAN,1,0,1
ARTIMES,1,0,1
SINEDIO,1,0,1
CLESIOMAR,6,0,6
CARLI,11,7,4
DIRÇON,1,0,1
DAIMENSON,1,0,1
VANIRIA,2,2,0
TAKUNDO,1,0,1
ROSADÁLIA,1,1,0
JUÇAMAR,1,1,0
LUCIEUDO,1,0,1
VALDINACIO,1,0,1
ERANDO,1,0,1
SIDOMAR,6,0,6
CRISVANIA,1,1,0
MAY,1,1,0
EDILUCIA,2,2,0
JESON,8,0,8
CLAID,1,0,1
GELIA,2,2,0
DIÊGO,3,0,3
GESIANO,1,0,1
WARDERLEIA,1,1,0
EDNILMA,1,1,0
GIZILDA,1,1,0
GERVINO,6,0,4
JENNY,7,7,0
LUICILENE,1,1,0
TANCLEDO,3,0,3
JUCIELLY,2,1,1
LIOILSON,2,0,2
ARIOBERTO,1,0,1
JOSITAN,2,0,2
ELIADE,4,1,3
EIC,1,0,1
GRAICY,1,1,0
NACIM,6,0,5
ELEVY,1,0,1
JUCIELIA,1,1,0
JUDINAR,1,1,0
AGILIO,7,0,5
ADACTO,1,0,1
LOUY,1,0,1
SISLEIDE,3,3,0
VALDISIO,6,0,6
OSIER,1,0,1
TIARLES,1,0,1
ARTIDES,1,0,1
ALADEIR,2,0,2
GLEYDSON,27,0,25
VAIRLEY,1,0,1
CLEOMIRO,5,0,5
SIDARTA,5,3,2
KENITI,3,0,3
JESUANE,2,2,0
ADILIO,88,0,85
ALTEVY,1,0,1
EÇUELIO,1,0,1
ARISTELA,3,3,0
BAZILEU,2,0,2
MERAB,1,1,0
KENNY,19,2,14
ALNETE,5,2,3
ESACHEU,1,0,0
RAILANE,3,3,0
GIL,234,0,214
DERIVAN,9,0,9
EDNILTOM,1,0,1
ZISELDA,1,1,0
ODILANIO,1,0,1
DENIR,47,14,33
AGRICIO,25,0,23
ESTEMALI,1,1,0
CAIDE,2,0,1
ABENATAR,1,0,1
RISODETE,1,1,0
MARLÃ,2,0,2
ILKIARA,1,1,0
VIDELSON,4,0,4
VITOLOR,2,0,2
ALCEBINA,3,3,0
LÁVARO,1,0,1
ODIDE,1,0,1
DUILA,2,1,0
DINISE,1,1,0
YASKARA,2,2,0
CREUSA,230,219,0
DARINTO,1,0,1
CÓSSIMO,3,0,2
COR-JESUS,1,0,1
WANDIKI,1,0,0
EVANDO,122,0,119
VENEILSON,2,0,2
LAFAIETE,71,0,68
ALAYR,6,1,5
GUELDER,1,0,1
ARIBELTON,2,0,2
DEUZADETH,1,1,0
SIRELY,1,1,0
NORIO,4,0,4
ANTIOGENES,2,0,2
TOMPSON,1,0,1
AYMORÉ,3,0,3
RENATH,1,1,0
IDIVINO,2,0,2
NAYGLON,1,0,1
JURANEZ,3,0,3
LUCIANO,3895,4,3660
JUDÁSIO,1,0,1
CLÉYA,1,0,0
AENDER,4,0,4
ERMÂNICO,1,0,1
VANDIMAR,5,0,5
ROZEVALDO,4,0,2
LEOCILENA,1,1,0
TÁRSIS,1,0,1
TENÓRIO,14,0,13
ALÉRCIO,2,0,1
ADEZILIO,9,0,9
CELISVANE,1,1,0
LORIVALTER,4,0,4
SERGIOFREDO,1,0,1
JOSIMÉRI,1,1,0
ADALGIR,3,0,3
EVÂNIO,26,0,25
LEILAINE,1,1,0
ALCIBENIS,3,0,3
NEHEMIAS,19,0,17
GEOVÃNIA,1,1,0
ÉVERSON,4,0,4
IBERTINA,1,1,0
HAGAHUS,2,0,1
MARIZON,5,0,4
WIGBERTO,3,0,0
RUTINEIA,7,7,0
LOURINALDA,1,1,0
ALCIDÉA,3,3,0
ROVAN,2,0,2
CARLIZIENE,1,1,0
ATLA,4,0,3
LILIANE,223,203,1
OSVALTER,1,0,1
WELTERSON,3,0,3
DEJANE,12,12,0
ROSSINE,13,0,13
ANTOINE,4,0,4
ADJALBAS,5,0,4
MARIDETE,11,10,0
EDIJANIR,1,0,1
JULDEX,2,0,2
NIVANDRA,1,1,0
RISOCREIDE,1,1,0
YÁRA,1,1,0
ELIEME,1,0,1
RIDSON,2,0,2
TELICIA,2,2,0
ESMELDIA,1,1,0
RUSEMBERGUE,3,0,3
MANGOMERY,1,0,1
VILNELISON,1,0,0
FIDELIS,62,1,60
ZELODIR,4,4,0
RICHEOLEY,1,0,1
RICARD,4,0,3
WILL,7,0,5
CALLINE,1,1,0
CLOVÍS,1,0,1
OLVIDIO,2,0,1
ORANDINO,1,0,1
ADÉSIO,5,0,5
VIVINA,1,1,0
GLICIANE,3,3,0
ARINO,36,0,33
PALMIRENO,3,0,3
AREULINO,1,0,1
ALLISON,12,0,11
CARLONE,3,0,2
IRAQUITAM,2,0,2
ESMILDO,3,0,3
JOAD,3,0,3
AMERQUIDES,2,2,0
DORZILIA,1,1,0
DEVACI,6,2,4
JANUSA,2,2,0
EDELÁDIO,3,0,3
EUCLAIR,4,2,2
EDNAIR,3,3,0
ADELIAR,3,0,3
EUDOXIA,3,3,0
EVANÉRITO,1,0,1
DEDMAR,1,0,1
CLAUDERSON,1,0,1
DUIRÇO,2,0,2
EDÉSIA,1,1,0
CHARBEM,1,1,0
ARTROGILDO,1,0,1
DARCYRENE,1,1,0
VALDEILDA,1,1,0
AZENCLEVER,1,0,1
EVILAINE,1,1,0
EUVECIO,2,0,2
FRILSON,2,0,2
EDELAINE,1,1,0
IZUIL,1,0,1
CLAUDIAMARA,4,4,0
ROGISLA,1,1,0
IVELISE,8,6,0
ADALCINDO,3,0,3
GERCIVALDO,3,0,3
JACILVIA,1,1,0
LAENIO,2,0,2
CRISTOPHANES,1,0,1
WALCELINO,1,0,1
EILANE,3,3,0
SOADEGAR,3,0,3
JUCIMAR,109,13,92
ELIOZILDA,2,2,0
ASTERICO,1,0,1
DERIO,2,0,2
ADELORES,2,2,0
GODCHAUX,1,0,1
ALLAIN,3,0,3
AMIM,2,0,1
JOSVANDO,4,0,4
DACIVAN,1,0,1
LENARIA,1,1,0
EDECLEZIO,1,0,1
VARDIANE,1,0,1
SÁVIO,47,0,45
CATULO,3,0,3
ADEMACIO,1,0,1
MARCILENE,165,157,1
WALTERCI,1,0,1
OZÉLIA,8,8,0
ACELISMARIO,1,0,1
GLADIS,53,51,0
GERRIMAR,1,0,1
GRACILDA,9,9,0
CEZINO,1,0,1
NELCÍ,1,1,0
SIPIÃO,1,0,1
ENICE,3,3,0
ELYETE,1,1,0
ICLORIO,1,0,1
NAYLLA,1,1,0
EDNICE,6,6,0
QUENIA,6,6,0
NASSAR,1,0,1
MILWARD,1,0,1
ADAIANA,3,3,0
IDOIR,1,0,0
CALID,4,0,4
JOSONILTON,1,0,1
AUELIONE,5,0,4
MARTINES,2,1,1
CORCINA,2,2,0
SIVALTO,1,0,1
VENEI,2,0,2
ANTONICO,1,0,1
BELUZIA,1,1,0
DEJENIL,3,0,3
DIORLAN,1,0,1
MAYVE,1,1,0
PENINA,1,1,0
VALQUIRES,5,1,4
EMER,2,0,2
ASLAN,1,0,1
RISONELMA,1,1,0
WOLNE,1,0,1
JULLIAN,1,0,1
JOSENELLI,1,1,0
ELIDOVINO,1,0,1
ADELANGE,1,0,1
HANDERSON,24,0,19
MAGMA,1,1,0
LEUDI,1,0,1
VALTON,18,0,17
DARCIONEI,1,0,1
CLAUDINEU,1,0,1
ASSISINA,1,1,0
BILHA,2,2,0
GERPSON,3,0,0
JIMYLLENNON,1,0,1
ROBERCIONE,3,0,3
RONDNEY,3,0,3
LADISLA,1,1,0
VAGANE,2,0,2
MARQUESAN,2,0,2
FRANCINETH,6,6,0
ANTONYEL,1,0,1
OTOCAR,2,0,2
JOSINARIA,1,1,0
ISALENE,2,1,0
LOUISE,10,9,0
REURY,3,0,3
ROBLEIK,1,0,1
LETY,1,1,0
DEONIZIO,10,0,10
ROUDERLEI,2,0,2
VALDILECIA,1,1,0
ANAIDES,8,6,2
WALTINA,3,3,0
VANDELUZA,1,1,0
LEIDIJANE,4,3,0
ELIESITA,1,1,0
NICELSON,2,0,2
JOZIRES,1,0,1
VALAIR,1,0,1
JULIEI,1,0,1
ENDEL,1,0,1
CORIOLANDO,7,0,5
WOLLACY,1,0,1
VERALDINO,11,0,9
ILVONETE,1,1,0
LORENCO,2,0,2
MARIONE,15,15,0
WHASINGTON,1,0,1
GEORGITOM,1,0,1
SOELLY,1,0,0
LENIGEL,1,0,1
IGNO,2,0,2
DILZABETE,1,1,0
AMIR,75,2,65
VESPAZIANO,7,0,7
DULCIREUDA,1,1,0
ABENE,2,0,2
UBYRACUARA,1,0,1
GIESTAS,1,0,1
SWELLEN,1,1,0
MARCIONILO,15,0,14
CLARÍ,1,1,0
LINDO,12,0,11
DIVALMI,2,0,2
HURYCK,1,0,1
PERINA,2,2,0
REMALDO,1,0,1
HIDEKAZA,1,0,1
JALSON,1,0,1
MEIRISAM,1,1,0
KESSY,1,0,1
KLAUSE,2,0,2
ROUSE,1,1,0
ODÉRCIO,2,0,2
YLZENY,1,1,0
AURISIO,3,0,3
ODINOR,4,0,4
RODEGARDO,1,0,1
ASAF,3,0,3
ORMELIO,1,0,1
PERBOARIO,1,0,1
MARECY,1,1,0
CENIRIA,1,1,0
MARIJANY,1,1,0
MASEMIAS,2,0,2
DARLYN,1,1,0
MANUELZITO,1,0,1
WERIKA,1,1,0
VILMAURO,1,0,1
GISÉLIO,1,0,1
ABELARDO,185,0,168
LUCENI,17,16,1
OBEDIAS,1,0,1
FARNOK,1,0,1
IVALDIR,20,0,19
ALRENICE,1,1,0
RANNGEL,1,0,1
KAUAN,1,0,1
ERLISON,2,0,2
DÉVOLA,1,1,0
JUÇARA,69,61,0
JORGAS,1,0,1
MARIESA,1,1,0
MONALISA,19,19,0
ATAHYDES,2,0,2
ROMÍCIO,1,0,1
CALIVALDO,2,0,2
LAUDIVINO,5,0,5
NABEAU,1,0,1
ARACICLEUMA,3,2,0
LETERCI,4,0,4
ADIRCE,9,9,0
IROCI,1,0,1
MADELEIDE,1,1,0
HEVANDRO,2,0,2
SUSHUMO,1,0,1
SUSLEY,1,1,0
MIRISIA,1,1,0
OSIRENE,2,2,0
ALBENISA,1,0,0
UILER,1,0,1
ZILTEIR,2,0,2
CLEOMARCOS,4,0,3
HIPERION,1,0,0
ALERTO,1,0,1
SOYANE,1,1,0
MEIREVONE,1,1,0
NOÉLIA,19,18,0
EDKLERCIO,1,0,1
MILAS,2,0,2
SENDHY,1,1,0
RIVONIA,1,1,0
BELALDA,1,1,0
IRA,5,1,4
GISANGELA,1,1,0
ELZIVANI,1,1,0
ADELOR,11,0,8
ICLAUDINA,1,1,0
ROSEMEYRE,6,6,0
LINDALRA,1,1,0
MARISLANDE,1,1,0
DIONÉZIA,2,2,0
CYNIRA,1,1,0
ANTONIELA,3,3,0
JECILENE,4,4,0
HELDENILDES,1,0,1
RUBINALDA,2,2,0
SUGUIO,1,0,1
LAYDES,2,2,0
JAUNADIR,2,0,1
IDA,92,88,0
ODÊNCIO,1,0,1
WALDEBER,1,0,1
LETONIA,1,1,0
AFRO,4,0,4
ODILER,1,0,1
JESEEL,1,0,1
ELSÍDIA,1,1,0
EULISSE,1,0,1
MARILEUZA,16,16,0
JOVENIL,59,0,58
ROCINO,3,0,3
CLEZIA,6,6,0
ENNO,3,0,2
GEIZI,1,1,0
MAFRA,2,2,0
ADARILDES,1,0,1
DENILSON,693,0,664
PERCINA,1,1,0
OPRINES,1,0,1
ANI,22,19,3
AURILENO,1,0,1
ANEIDE,2,2,0
HORUS,1,0,1
CLERISMAR,9,4,4
HELLEZ,1,0,1
IDALINO,92,0,87
LEU,2,0,2
JÁCIA,1,1,0
ELISMAR,137,9,122
ETIENE,33,26,6
JONNEI,2,0,2
NALDIRENE,1,1,0
ZUILA,24,22,0
REZINO,1,0,1
ISTENIR,1,0,1
DIODÁLIO,1,0,0
ADAUTO,628,0,602
IDALICIO,26,0,26
ORTON,1,0,1
DENIVALDA,1,1,0
WHIRLEY,2,0,2
ZILANDIA,1,1,0
DABY,1,1,0
LINCLAIR,1,0,1
AUREANIA,1,1,0
MARISAN,1,1,0
ZELOI,1,1,0
MERCÊDES,1,1,0
NETIS,2,2,0
FROILAZ,2,0,2
ALCIETE,2,0,2
DORNIE,1,0,1
LEUZIMAR,2,1,1
ELDIR,15,2,12
ALTERMAR,1,0,1
LAURICY,3,3,0
ARLEAN,3,1,1
ZENEI,1,1,0
ELIONITA,1,1,0
QUELEM,2,2,0
BADIA,6,6,0
CLEUSENIR,2,2,0
KALYCILENE,1,1,0
OZIELIO,1,0,1
IONAR,4,4,0
JARINO,3,0,3
ABNER,75,0,66
VILÉRIO,1,0,1
WIRLLEY,1,0,1
ENOMAR,2,0,2
GRACINEA,1,1,0
LADINANDO,2,0,2
JÉSSIKA,2,2,0
GILNAY,1,1,0
URURAY,1,0,1
LIDOALDO,1,0,1
ÉLZA,1,1,0
FEOMANO,1,0,1
APULCHRO,1,0,1
RINAURO,3,0,3
ELINOEL,4,0,4
IZIS,9,9,0
CHRISTINO,9,0,5
ROOSEVELT,117,0,91
SIDRONIO,10,0,10
WINNITU,3,0,2
GEOLAR,5,0,5
SCHANA,1,1,0
ANTONIELITO,2,0,2
TIOCO,1,1,0
VALFREDES,3,0,3
IVÊNIO,1,0,1
EDICLESIO,1,0,1
DALVINES,2,2,0
ADELYA,1,1,0
ESROM,6,0,6
GRAZIANY,1,0,1
GERACY,1,0,1
EUFLOSINO,1,0,1
VENARLEITE,1,1,0
HELES,5,0,5
MELQSEDEQ,1,0,1
JALES,45,0,42
NEURISVANIA,1,1,0
MARCIONILIO,36,1,34
HALITON,1,0,1
FRAIUSE,1,1,0
DAY,1,1,0
IZAETE,3,2,1
CLAUDIVALDA,1,1,0
ELISAFAN,5,0,4
DIVASSE,3,0,3
EUDETRUDES,1,1,0
INALINA,1,1,0
EDVALTH,1,0,0
DORAMAS,1,0,0
AMANCIO,70,0,64
DBLAN,1,0,1
ADEDI,4,0,3
NANIO,1,0,0
OSCARINA,13,13,0
THATIANY,1,1,0
VALMIZOLIA,2,2,0
EGEO,1,0,1
ERES,4,1,3
NECIONITA,1,1,0
VALDEBERTO,3,0,3
JOBE,5,0,5
JOANINA,3,3,0
AIRAM,11,8,3
RUTONIO,1,0,1
ARONILDO,8,0,8
MARNICE,1,1,0
DIANNE,1,1,0
CINERO,1,0,1
NADIENE,3,3,0
LINDIKEZIA,1,1,0
GUALTERINA,3,3,0
JARACEL,3,0,3
DAIONE,1,1,0
LIOLINO,1,0,1
KATYUCIA,2,2,0
NÍKOLAS,3,0,1
DIONDAS,1,0,1
ELIDANIEL,1,0,1
JOANDERSON,3,0,3
JONHSON,8,0,8
LAUDIOMIR,1,0,1
ALTALANO,3,0,3
VEONILDE,1,1,0
ERIVONILDO,1,0,1
EDECLAITON,3,0,3
DIONARDO,2,0,2
WALNILDA,1,1,0
WERLLANE,1,1,0
IDEVILSON,4,0,4
PASCHOAL,52,0,50
ARIQUELI,1,0,1
LORRAINE,8,7,1
EDERIZE,1,0,1
LUCELY,2,2,0
WELEDER,1,0,1
CHARLESVÂNIO,1,0,1
EDIMEIRE,1,1,0
CLENILSA,1,1,0
VIRSO,1,0,1
ALESSANDRUS,1,0,1
JOSIELTON,6,0,6
LENAIR,1,1,0
DIRINALDO,1,0,1
SINVALDO,142,0,141
DALVENI,1,1,0
OCLECIDES,1,0,1
JUPYR,2,0,2
DEUZEDIR,3,3,0
CALLINS,3,0,3
